"64";"Šta može da znači očitavanje nule na ampermetru sa skalom centar-nula, tokom leta?";"Normalno stanje; alternator snabdeva električnom energijom elektro opremu.";"Alternator se ne koristi.";"Nijedan električni ureñaj nije uključen.";"Nenormalna situacija; baterija snabdeva električnom energijom elektro opremu.";"a";"Operativne Procedure"
"65";"Tokom leta primetili ste da se igla ampermetara sa skalom centar-nula, otklonila na levo. Šta ovo pokazivanje znači i šta vi kao pilot vazduhoplova treba obično tada da uradite?";"Nepravilno stanje; akumulator se ispraznio, zato što alternator nije ispravan ili nije u stanju da pokrije zahteve priključenih električnih potrošača. U slučaju da se posle prebacivanja glavnog prekidača - mastera, iz položaja isključeno u uključeno, situacija ne poboljša, potrošnja električne energije treba da se redukuje na minimum i da se sleti na najbliži odgovarajući aerodrom.";"Normalni uslovi; akumulator preuzima punjenje, na taj način let se nastavlja, potrebno je kontrolisati instrument i treba očekivati pad igle pokazivača.";"Normalni uslovi, instrument pokazuje tekuću potrošnju električne energije, koju obezbeñuje alternator.";"";"a";"Operativne Procedure"
"66";"Tokom leta primetili ste da svetli narandžasto svetlo na panelu sa instrumentima. Šta to znači?";"Alternator ne proizvodi električnu struju.";"Previsok proizvedeni napon.";"Prazna baterija.";"Pregrejan alternator. ODELJENJE VAZDUHOPLOVNOG OSOBLJA ISPITNA PITANJA ZA PPL(H) PPL(H) – Operativne procedure";"a";"Operativne Procedure"
"67";"Šta je najverovatniji uzrok nastajanja opasne turbulencije iza teškog vazduhoplova?";"Vrtlozi sa krajeva krila.";"Vazdušna struja iza elise.";"Izduvni mlaz mlaznog motora.";"";"a";"Operativne Procedure"
"68";"Koliko dugo će se vrtložna turbulencija zadržati posle prolaska velikog vazduhoplova?";"Pet minuta ili više; ATC dozvoljava dva do tri minuta razmaka.";"Dva minuta.";"Tri minuta.";"";"a";"Operativne Procedure"
"69";"Kada prilazi rulnoj stazi do linije čekanja sa strane obeležene punim linijama, pilot:";"Ne sme da preñe linije bez odobrenja kontrolora letenja sa ATC.";"Može da nastavi da taksira.";"Može da nastavi taksiranje dok celokupni vazduhoplov ne preñe linije.";"";"a";"Operativne Procedure"
"70";"Koja je svrha znaka zaustavljanja na ukrštanju dve piste?";"Obeležava ukrštanje dve piste.";"Obeležava ulazak na pistu sa rulne staze.";"Obeležava površinu obezbeñenu za vazduhoplov koji prilazi ili odlazi sa piste.";"";"a";"Operativne Procedure"
"71";"Prostor C na prikazanom aerodromu se klasificira kao (Pogledajte Sliku PPL OP-1):";"Zatvorena pista.";"Stabilisano polje.";"Višenamenski heliodrom.";"";"a";"Operativne Procedure"
"72";"Strelice koje se javljaju na kraju piste SEVER/JUG označavaju da taj prostor (Pogledajte Sliku PPL OP-2):";"Ne može da se koristi za sletanje, ali može biti korišćen za taksiranje i poletanje.";"Može biti korišćen samo za taksiranje.";"Se koristi za taksiranje, poletanje i sletanje.";"";"a";"Operativne Procedure"
"73";"Brojevi 4 i 22 na pisti označavaju da je pista približno orijentisana u (Pogledajte Sliku PPL OP-2):";"040° i 220° (true, stvarni).";"004° i 022° (true, stvarni).";"040° i 220° (magnetic, magnetni).";"";"a";"Operativne Procedure"
"74";"Granična svetla taksi rulne staze na aerodromu su obeležena noću sa:";"Plavim svesmernim svetlima.";"Belim usmerenim svetlima.";"Pomoćnim crvenim i zelenim svetlima.";"";"a";"Operativne Procedure"
"75";"Koja od navedenih predstavljaju svetla praga piste?";"Zelena jednosmerna.";"Crvena jednosmerna.";"Zelena svesmerna. ODELJENJE VAZDUHOPLOVNOG OSOBLJA ISPITNA PITANJA ZA PPL(H) PPL(H) – Operativne procedure";"Crvena svesmerna.";"a";"Operativne Procedure"
"76";"Svetla niskog intenziteta na nepomičnim objektima moraju biti:";"Kontinuirano crvena.";"Bljeskajuće žuta.";"Bljeskajuće crvena.";"Kontinuirano narandžasta.";"a";"Operativne Procedure"
"77";"Helikopter je najbučniji u:";"Fazi sletanja.";"Krstarenju.";"Fazi poletanja.";"";"a";"Operativne Procedure"
"78";"Na kontrolisanom aerodromu primetili ste žutu pravougaonu tablu sa natpisom C, crne boje, stavljene iznad vrata (slika C). Šta to znači? (Pogledajte Sliku PPL OP-4)";"Kancelarija za informacije kontrole letenja.";"Carinska služba.";"Izlaz za privatne avio posade.";"Izlaz za osoblje.";"a";"Operativne Procedure"
"79";"U označenom prostoru aerodroma, crveni pravougaoni znak sa jednom žutom dijagonalnom linijom (slika B) znači: (Pogledajte Sliku PPL OP-4)";"Povedi računa kod sletanja zbog lošeg stanja manevarskih površina.";"Nema sletanja.";"Jedriličari su aktivni.";"Helikopteri su aktivni.";"a";"Operativne Procedure"
"80";"Kakvo je značenje vizuelnog zemaljskog signala u obliku horizontalnog pravougaonog panela sa žutom dijagonalom prikazanom na prostoru signalizacije aerodrome (slika A)? (Pogledajte Sliku PPL OP-4)";"Sletanja su zabranjena.";"Prostor nema mogućnosti za kretanje vazduhoplova.";"Vazduhoplov je obavezan da sleti, poleti i taksira samo na pistama i rulnim stazama.";"Posebna pažnja se mora voditi prilikom prilaza sletanju ili prilikom sletanja.";"a";"Operativne Procedure"
"81";"Beli krst postavljen horizontalno na početak rulne staze (slika G), znači: (Pogledajte Sliku PPL OP-4)";"Rulna staza nije za upotrebu.";"Pažnja, prilazite raskrsnici sa pistom.";"Prostor za sletanje helikoptera.";"Pažnja, prilazite raskrsnici sa drugom rulnom stazom!";"a";"Operativne Procedure"
"82";"U signalnoj zoni aerodroma, dupli beli krst (Slika H) znači: (Pogledajte Sliku PPL OP-4)";"Pažnja, jedrilice su u vazduhu!";"Zabranjeno sletanje, aerodrom nije siguran!";"Obratite naročitu pažnju tokom prilaza i sletanja! ODELJENJE VAZDUHOPLOVNOG OSOBLJA ISPITNA PITANJA ZA PPL(H) PPL(H) – Operativne procedure";"Taksiranje po tlu je dozvoljeno izvan piste i rulna staza!";"a";"Operativne Procedure"
"83";"U signalnoj zoni aerodrome, beli, prečkom spojeni krugovi ( Slika D) znače: (Pogledajte Sliku PPL OP-4)";"Sleti i taksiraj samo po čvrstoj podlozi.";"Pravac sletanja je paralelan sa pravcem upravnim na prečku.";"Sleti samo na čvrstu podlogu.";"Zabranjeno sletanje.";"a";"Operativne Procedure"
"84";"U signalnoj zoni aerodrome, beli krugovi spojeni prečkom sa crnim linijama preko svakog kružnog dela pod pravim uglom na osovinu (slika E) znače: (Pogledajte Sliku PPL OP-4)";"Sletanje, poletanje i taksiranje jedino na pisti i rulnim stazama, ostala kretanja na zemlji su ograničena na čvrste podloge.";"Sletanje zabranjeno za duži period.";"Sletanje, poletanje i taksiranje je ograničeno samo na pisti i rulnim stazama.";"Pažnja, jedrilice u vazduhu.";"a";"Operativne Procedure"
"85";"Koje oznake se mogu prikazati tokom dana na aerodromu radi označavanja neupotrebljivosti bilo kog dela manevarskih površina?";"Krstovi predstavljeni jednom jasnom bojom ( po mogućstvu bela) rasporeñeni horizontalno.";"Narandžaste zastave na granici neupotrebljive površine.";"Beli i narandžasti konusi po granici neupotrebljive površine.";"Veliki crveni pravougaonici sa žutim dijagonalnim oznakama rasporeñeni horizontalno.";"a";"Operativne Procedure"
"86";"U signalnoj zoni aerodroma, znak (Slika I), znači: (Pogledajte Sliku PPL OP-4)";"Desni školski krug je u upotrebi.";"Posle sletanja napustite pistu skretanjem u desno.";"Parkiralište je na desnoj strani.";"Produžite na sledeći aerodrom, pista je zatvorena.";"a";"Operativne Procedure"
"87";"U signalnoj zoni aerodrome, belo slovo “T” (Slika F) znači: (Pogledajte Sliku PPL OP-4)";"Pravac za sletanje je paralelan sa pravcem upravnim na prečku.";"Sletanje samo na čvrstu podlogu.";"Sletanje i taksiranje samo po čvrstoj podlozi.";"Zabranjeno sletanje.";"a";"Operativne Procedure"
"88";"Boja AVTUR goriva je:";"Boje ćilibara.";"Tamno zelena.";"Tamno plava.";"Svetlo zelena.";"a";"Operativne Procedure"
"89";"Na performanse penjanja helikoptera najnegativnije utiču:";"Temperatura veća od standardne i visoka relativna vlažnost. ODELJENJE VAZDUHOPLOVNOG OSOBLJA ISPITNA PITANJA ZA PPL(H) PPL(H) – Operativne procedure";"Temperatura veća od standardne i niska relativna vlažnost vazduha.";"Temperatura niža od standardne i visoka relativna vlažnost.";"";"a";"Operativne Procedure"
"90";"Najnepovoljnija kombinacija uslova za performanse helikoptera je:";"Mala gustina na nadmorskoj visini, mala bruto težina i miran vetar.";"Velika gustina na nadmorskoj visini, velika bruto težina i miran vetar.";"Velika gustina na nadmorskoj visini, velika bruto težina i jak vetar.";"";"a";"Operativne Procedure"
"91";"Kako se visina povećava, VNE helikoptera će:";"Se smanjivati.";"Se povećavati.";"Ostati ista.";"";"a";"Operativne Procedure"
"92";"U toku krstarenja je otkazao sistem za kontrolu obrtnog momenta i započeto je motorsko sletanje. Ukoliko helikopter počne da skreće sa pravca u desnu stranu neposredno pre pristajanja, šta bi pilot mogao da preduzme da skrene nos helikoptera u levo?";"Smanjiti gas.";"Povećati gas.";"Povećati kolektivni korak.";"";"a";"Operativne Procedure"
"93";"Ako se u toku krstarenja desio otkaz sistema za kontrolu obrtnog momenta, šta bi moglo da se uradi kako bi se ispravilo skretanje helikoptera u levo pre pristajanja?";"Menjati gas kako bi se potpomoglo zanošenje nosa helikoptera u desno neposredno pre dodira tla.";"Primeniti normalno sletanje s „proklizavanjem”.";"Izvršiti sletanje s „proklizavanjem”, parcijalno koristeći snagu i pomeranje ciklične palice u levo.";"";"a";"Operativne Procedure"
"94";"Koja tehnika letenja se preporučuje u uslovima visoke spoljne temperature?";"Tokom poletanja lagano prelaziti u progresivni let.";"Tokom poletanja bržim tempom prelaziti u progresivni let.";"Koristiti minimalno dozvoljene RPM i maksimalno dozvoljeni pritisak na razvodnom ventilu u svim fazama leta.";"";"a";"Operativne Procedure"
"95";"Prilikom planiranja sletanja na nagnute terene, trebalo bi uzimati u obzir samo terene sa nagibom od 50 ili manjim, pre svega zato što:";"Većina helikoptera nije dizajnirana za upotrebu na terenima sa većim nagibom.";"Uticaj zemlje se gubi na terenu sa većim nagibom.";"Turbulencija silaznih strujnica je opasnija na strmijim terenima.";"";"a";"Operativne Procedure"
"96";"Koji postupak se primenjuje pri sletanju na teren pod nagibom?";"Kada se doñe u položaj paralelan sa nagibom, lagano prvo spustiti skiju uz nagib a zatim skiju niz nagib.";"Koristiti maksimalni RPM i pritisak razvodnog ventila. 100";"Ako je nagib terena ili manji, sletanje bi trebalo izvoditi okomito na nagib. ODELJENJE VAZDUHOPLOVNOG OSOBLJA ISPITNA PITANJA ZA PPL(H) PPL(H) – Operativne procedure";"";"a";"Operativne Procedure"
"97";"U kojoj od sledećih letačkih operacija u mirnim uslovima bi, kod većine helikoptera, bila potrebna najveća snaga?";"Zaokreti (skretanja) levom nožnom pedalom.";"Zaokreti (skretanja) desnom nožnom pedalom.";"Lebdenje sa uticajem tla.";"";"a";"Operativne Procedure"
"98";"Ako u toku krstarenja na visini doñe do potpunog otkaza pogonske grupe, pilot treba da:";"Spusti kolektivnu palicu koliko je potrebno za održavanje potrebnog RPM i desnom nožnom komandom ispravi skretanje sa pravca.";"Delimično smanji kolektivni korak, zatvori gas, zatim do kraja spusti kolektivnu palicu.";"Zatvori gas, do kraja smanji kolektivni korak, upotrebi levu nožnu komandu za ispravljanje skretanja sa pravca i uspostavi normalno planiranje bez motora.";"";"a";"Operativne Procedure"
"99";"Kada se izvršavaju zadaci na ograničenim površinama, primarni cilj detaljnog izviñanja je da se utvrdi:";"Pogodnost područja za sletanje.";"Tip prilaza koji će se izvršavati.";"Visina prepreka oko odreñene površine (područja).";"";"a";"Operativne Procedure"
"100";"Tokom prilaženja za sletanje na uzvišenjima u uslovima jakog vetra i turbulencije, pilot treba da:";"Vrši strmiji prilaz od uobičajenog održavajući željeni ugao snižavanja kolektivnom palicom.";"Vrši blaži prilaz, održavajući stalnu putanju snižavanja cikličnom palicom.";"Vrši normalan prilaz, održavajući blaži ugao snižavanja cikličnom palicom.";"";"a";"Operativne Procedure"
"101";"Koji tip prilaza treba vršiti na uzvišenja u uslovima relativno jakog vetra i turbulencije?";"Strmiji prilaz od uobičajenog.";"Normalan prilaz.";"Blaži prilaz od uobičajenog.";"";"a";"Operativne Procedure"
"102";"Ako se očekuju turbulencija i nispona strujanja u toku prilaza za sletanje na uzvišenju, planirati izvoñenje:";"Strmijeg prilaza nego što je uobičajeno.";"Normalnog prilaza, održavajući manju brzinu od uobičajene.";"Blažeg ugla prilaženja, održavajući veću brzinu od uobičajene.";"";"a";"Operativne Procedure"
"103";"Glavni razlog zbog kojeg treba izbegavati osenčeno područje na grafikonu brzina/visina je:";"Nedovoljna brzina na raspolaganju kako bi se obezbedilo bezbedno sletanje u slučaju prestanka rada motora.";"Broj obrtaja rotora može da opadne pre dodira tla, u slučaju prestanka rada motora.";"Potrebni broj obrtaja rotora može da postane preterano visok na maloj nadmorskoj visini. ODELJENJE VAZDUHOPLOVNOG OSOBLJA ISPITNA PITANJA ZA PPL(H) PPL(H) – Operativne procedure";"";"a";"Operativne Procedure"
"104";"Za vreme probe rada magneta, sa selektovanim desnim magnetom, primećujete da motor podrhtava i sumnjate da će prestati sa radom. Šta treba da uradite?";"Dozvolićete da motor potpuno prestane sa radom.";"Brzo ćete prebaciti na levi magnet.";"Brzo ćete prebaciti na oba magneta.";"Dodaćete gas da održite rad motora, a zatim prebaciti na oba magneta.";"a";"Operativne Procedure"
"105";"Održavanje vazduhoplova sprovedeno od strane privatnog pilota, a u skladu sa zakonskim okvirom, mora:";"Biti uneto u knjižicu održavanja vazduhoplova i mora biti potpisano od strane pilota koji je vršio održavanje.";"Biti uneto u knjižicu održavanja vazduhoplova od strane ovlašćenog mehaničara.";"Ne mora biti upisano u knjižicu održavanja.";"Biti uneto u knjižicu održavanja i overeno od strane inspektora DCV-a.";"a";"Operativne Procedure"
"106";"Posle startovanja hladnog motora, ako se pritisak ulja ne pokaže u roku od 30 sekundi:";"Motor se mora momentalno ugasiti.";"Broj obrtaja motora mora biti povećan, a posle povećanja broja obrtaja pritisak ulja mora biti prekontrolisan još jedanput.";"Ovo se može ignorisati, pod uslovom da je prilikom kontrole nivo ulja bio zadovoljavajući.";"Ovo se može zanemariti ukoliko je temperatura ulja visoka, pod uslovom da je prilikom kontrole nivo ulja bio zadovoljavajući.";"a";"Operativne Procedure"
"107";"Letenje vazduhoplovom sa praznim akumulatorom, nakon što je motor startovan sa zemaljskim izvorom napajanja:";"Nije preporučljivo jer se može desiti da se akumulator ne puni kako treba.";"Je prihvatljivo zato što će akumulator biti napunjen pre poletanja.";"Je prihvatljivo zato što akumulator nije potreban tokom leta.";"Nije preporučljivo jer potreban napon neće biti postignut.";"a";"Operativne Procedure"
"108";"Kada se vrši kalibraža kompasa:";"Kompas u vazduhoplovu se poredi sa kalibracionim kompasom.";"Može se izvesti na bilo kom delu aerodroma koji je suv i ravan.";"Omogućava se odreñivanje varijacije vazduhoplova.";"";"a";"Operativne Procedure"
"109";"Koju visinu pokazuje visinomer ako je postavljen na lokalni QNH pritisak?";"Visinu iznad nivoa mora.";"Visinu iznad aerodroma.";"Visinu iznad terena.";"Nivo leta.";"a";"Operativne Procedure"
"110";"Koju visinu pokazuje visinomer vazduhoplova ako je podešen na standardni atmosferski pritisak?";"Nivo leta. ODELJENJE VAZDUHOPLOVNOG OSOBLJA ISPITNA PITANJA ZA PPL(H) PPL(H) – Operativne procedure";"Apsolutnu visinu.";"Relativnu visinu.";"Stvarnu visinu iznad površine zemlje. ODELJENJE VAZDUHOPLOVNOG OSOBLJA ISPITNA PITANJA ZA PPL(H) PPL(H) – Operativne procedure PRILOZI: Slika PPL OP – 1 ODELJENJE VAZDUHOPLOVNOG OSOBLJA ISPITNA PITANJA ZA PPL (H) PPL(H) – Operativne procedure Slika PPL OP – 2 ODELJENJE VAZDUHOPLOVNOG OSOBLJA ISPITNA PITANJA ZA PPL (H) PPL(H) – Operativne procedure Slika PPL OP – 3 ODELJENJE VAZDUHOPLOVNOG OSOBLJA ISPITNA PITANJA ZA PPL (H) PPL(H) – Operativne procedure Slika PPL OP - 4 ODELJENJE VAZDUHOPLOVNOG OSOBLJA ISPITNA PITANJA ZA PPL (H)";"a";"Operativne Procedure"
"1";"Zašto je uobičajeno da lopatice rotora helikoptera imaju simetrične aeroprofile? (Slika PPL(H) TL – 1)";"Da bi se izbeglo dejstvo opasnih sila.";"Da bi se omogućilo da se centar pritiska pomera slobodno.";"Da bi centar pritiska bio u istoj tački kao centar gravitacije.";"Da bi se omogućilo linearno kretanje napadnog ugla.";"a";"Teorija letenja"
"2";"Koja je od sledećih izjava, u pogledu napadnog ugla i postavnog ugla lopatica rotora helikoptera, ispravna? (Slika PPL(H) TL – 2)";"Napadni ugao je manji od postavnog ugla pri kretanju lopatice rotora unapred kada se helikopter krece napred.";"Napadni i postavni ugao će biti isti u prednjoj i zadnjoj poziciji lopatice, ali samo u lebdenju pri nultoj brzini vetra.";"Napadni ugao je veći od postavnog ugla pri kretanju lopatice rotora unapred kada se helikopter krece napred.";"Postavni ugao je veći od napadnog ugla pri kretanju lopatice rotora unazad kada se helikopter krece napred.";"a";"Teorija letenja"
"3";"Razmatrajući aeroprofil u uslovima sloma uzgona, šta je od sledećeg tačno?";"Uzgon znatno opada, ali ne na nulu.";"Do odvajanja strujnica dolazi na odreñenoj brzini.";"U uslovima odvajanja strujnica pritisak na gornjoj površini se značajno smanjuje.";"Na početku odvajanja strujnica i uzgon i otpor značajno opadaju.";"a";"Teorija letenja"
"4";"S obzirom na aerodinamičke sile koje deluju na lopaticu rotora, šta je od sledećeg tačno? (Slika PPL(H) TL - 3)";"Zbir napadnog ugla i ugla protoka relativnog vazduha je jednak postavnom uglu.";"Ugao izmeñu relativnog strujanja vazduha i aerodinamičke tetive se naziva ugao lopatice.";"Ugao izmeñu aerodinamičke tetive i ravni obrtanja se naziva napadni ugao.";"Ugao izmeñu relativnog strujanja vazduha i aerodinamičke tetive se naziva postavni ugao.";"a";"Teorija letenja"
"5";"Koja je od sledećih izjava u pogledu protok vazduha oko rotora ispravna? (Slika PPL(H) TL - 3)";"Napadni ugao i indukovano vazdušno strujanje su obrnuto proporcionalni za dati elemenat rotora i broj obrtaja rotora.";"Indukovano vazdušno strujanje ostaje isto, dok su napadni ugao rotora i broj obrtaja rotora direktno proporcionalni. ODELJENJE VAZDUHOPLOVNOG OSOBLJA ISPITNA PITANJA ZA PPL(H) PPL(H) – Teorija letenja";"Indukovano vazdušno strujanje i napadni ugao rotora su obrnuto proporcionalni za dati broj obrtaja.";"Za datu sekciju lopatice i broj obrtaja rotora (RPM), pri smanjenju indukovanog protoka vazduha napadni ugao lopatice se smanjuje.";"a";"Teorija letenja"
"6";"Ubrzavanje i usporavanje lopatice rotora u toku odreñenog okretanja je praćeno mahanjem koje se naziva: (Slika PPL(H) TL – 4)";"Koriolisov efekat.";"Referentna ravan obrtanja.";"Hukov efekat.";"Zaostajanje.";"a";"Teorija letenja"
"7";"Pomeranje ciklične palice:";"Menja položaj diska rotora.";"Menja ugao konusa.";"Menja ugao klaćenja.";"Menja ugao mahanja.";"a";"Teorija letenja"
"8";"Prelazni uzgon („prestrujavanje”) na malim progresivnim brzinama ili u lebdenju za datu snagu motora će:";"Prouzrokovati penjenje helikoptera.";"Održavati konstantnu vazdušnu brzinu.";"Održavati stalnu ukupnu vučnu silu rotora.";"Povećati štetni otpor.";"a";"Teorija letenja"
"9";"Faza zaostajanja je: (Slika PPL(H) TL – 5 )";"Ugao, u ravni obrtanja, kroz koji se kreće lopatica rotora izmeñu odreñenog konstruktivnog položaja i odgovarajuće pozicije kašnjenja.";"Vreme izmeñu povećanja skupnog koraka i promene broja obrtaja rotora.";"Ugao, u ravni obrtanja, kroz koji se kreće lopatica rotora izmeñu odreñenog skupnog koraka i odgovarajućeg položaja diska rotora. 900";"Mesto gde lopatica dobija maksimalnu promenu u cikličnom koraku van faze sa najvišom i najnižom tačkom kontrolne površine.";"a";"Teorija letenja"
"10";"Dinamičko prevrtanje može biti uzrokovano:";"Preteranim momentom kotrljanja oko skije ili točka u kontaktu sa nagnutom ili neravnom površinom.";"Uzletanjem u blizini zgrada.";"Sletanjem na strme terene.";"Preteranim pomeranjem ciklične palice u stranu koje prouzrokuje momenat kotrljanja (prevrtanja).";"a";"Teorija letenja"
"11";"U slučaju da prilikom prizemljenja doñe do pojave zemaljske rezonanse, treba primeniti sledeći postupak:";"Odmah poleteti ukoliko je broj obrtaja rotora dovoljno veliki.";"Povećati broj obrtaja rotora kako bi se promenila frekvencija rezonanse. ODELJENJE VAZDUHOPLOVNOG OSOBLJA ISPITNA PITANJA ZA PPL(H) PPL(H) – Teorija letenja";"Okrenuti rep u vetar kako bi se smanijli efekti rezonanse.";"Pomerati cikličnu palicu kako bi se promenila cirkulacija vazduha rotor/teren.";"a";"Teorija letenja"
"12";"Obrnuti (povratni) protok vazduha je povezan sa: (Slika PPL(H) TL – 6)";"Letenjem na velikim brzinama i stvara se na korenu odlazeće lopatice rotora.";"Slomom uzgona odlazeće lopatice, koji počinje na korenu i progresivno se širi ka vrhu lopatice.";"Samoobrtanjem i nastaje na korenu lopatice.";"Stanjem vrtloženja, a stvara se na korenu odlazeće lopatice.";"a";"Teorija letenja"
"13";"Da bi se izbegao slom uzgona odlazeće lopatice u letu, potrebno je: (Slika PPL(H) TL - 7)";"Smanjiti skupni korak kako bi se napadni ugao smanjio ispod ugla sloma uzgona.";"Smanjiti snagu motora i povećati skupni korak kako bi se smanjila brzina.";"Pomeriti cikličnu palicu unazad dok brzina ne počne da opada, zatim povećati snagu motora.";"Smanjiti skupni korak i povećati progresivnu brzinu.";"a";"Teorija letenja"
"14";"Jedan sekundarni efekat koji rep rotora teži da proizvede u lebdenju, ukoliko se ne otkloni, je bočno zanošenje helikoptera: (Slika PPL(H) TL-8)";"U pravcu vučne sile repnog rotora.";"U pravcu prisutnog vetra.";"U bilo kom pravcu, zavisno od veličine vučne sile repnog rotora.";"U suprotnom pravcu od reaktivnog obrtnog momenta glavnog rotora.";"a";"Teorija letenja"
"15";"Šta je od sledećeg ispravno u pogledu vrtložnog prstena oko lopatica glavnog rotora?";"Stvara čak i veću brzinu silaženja ukoliko se isto vrši sa snagom.";"Ukazuje na razvoj vrtloženja oko kraja korena lopatica rotora.";"Napadni ugao na krajevima lopatica se povećava.";"Brzina silaženja će se smanjiti podizanjem kolektivne palice, ali pilot mora da deluje brzo.";"a";"Teorija letenja"
"16";"Kada se povećava napadni ugao simetričnog aeroprofila, centar pritiska se pomera:";"Vrlo malo.";"Napred.";"Pozadi.";"Uopšte se ne pomera.";"a";"Teorija letenja"
"17";"Uvijanjem lopatica rotora se dobija: (Slika PPL(H) TL – 9)";"Povećan napadni ugao na krajevima lopatica.";"Smanjen napadni ugao na krajevima lopatica.";"Neutralan napadni ugao u korenu lopatica.";"Maksimalni napadni ugao lopatice u tački na ⅔ dužine lopatice.";"a";"Teorija letenja"
"18";"Punoća diska se definiše kao:";"Odnos ukupne težine helikoptera, po jedinici površine diska. ODELJENJE VAZDUHOPLOVNOG OSOBLJA ISPITNA PITANJA ZA PPL(H) PPL(H) – Teorija letenja";"Opterećenje potrebno za održavanje konusnog ugla u granicama bezbednosti.";"Maksimalno centrifugalno opterećenje glavčine nosećeg rotora.";"Površina diska podeljena silom uzgona u lebdenju.";"a";"Teorija letenja"
"19";"Do prekoračenja postavnog ugla helikoptera dolazi:";"Kada se postavni ugao rotora koji je već veliki pri maksimalnoj snazi za održavanje brzine rotora dodatno povećava i lopatice helikoptera su u konusu nagore.";"Kada je ciklična palica pomerena isuviše napred ili nazad, raspoloživa snaga je nedovoljna, i helikopter se spušta.";"Kada se postavni ugao rotora poveća izvan ograničenja broja obrtaja rotora.";"Kada pilot pokušava da se popne na nadmorske visine iznad optimalne visine za efikasnost lopatice i helikopter ili održava visinu ili se spušta.";"a";"Teorija letenja"
"20";"Do prekoračenja torzionog (obrtnog) momenta dolazi:";"Ako se broj obrtaja rotora smanjuje a snaga za održavanje ukupne vučne sile rotora je ista, obrtni momenta može da se poveća preko granične vrednosti.";"Kada pilot pokušava da poveća broj obrtaja rotora bez odgovarajućeg povećanja snage.";"Kada snaga motora nije dovoljna da održi broj obrtaja rotora bez povećanja postavnog ugla.";"Ako se broj obrtaja rotora povećava a snaga za održavanje ukupne vučne sile rotora je ista, obrtni momenta može da se poveća preko granične vrednosti.";"a";"Teorija letenja"
"21";"Do „zabacivanja” (uzdužnog naginjanja) helikoptera dolazi: Slika PPL(H) TL-10)";"Kada se u horizontalnom strujanju vazduha disk rotora naginje unazad.";"Tokom ubrzanja, disk rotor se naginje, ali zbog faze mahanja naginje se bočno i ka prednjoj strani, što mora biti ispravljeno pomoću ciklične palice.";"U toku prelaznog režima, zbog faze mahanja, disk se naginje napred prouzrokujući ubrzanje helikoptera.";"Cikličnim povećanjem postavnog ugla prednje i smanjenjem ugla zadnje lopatice u horizontalnom letu, što prouzrokuje naginjanje rotora unapred.";"a";"Teorija letenja"
"22";"Helikopterom koji može da se ponaša kao „poskakujuća barka” ne bi trebalo leteti na takav način da se izazovu negativna ”G” opterećenja. Meñutim, ako slučajno doñe do negativnog ”G” opterećenja, pilot treba da:";"Poveća napadni ugao povlačenjem ciklične palice unazad, a zatim da prevede helikopter u horizontalni let, takoñe korišćenjem ciklične palice.";"Pomeri cikličnu palicu napred dok „poskakivanje” ne prestane, a zatim da prevede helikopter u horizontalni let.";"Postavi cikličnu palicu u neutralni položaj, a zatim podigne kolektivnu palicu.";"Korišćenjem ciklične palice odmah ispravi bilo koje ljuljanje.";"a";"Teorija letenja"
"23";"Ugao izmeñu relativnog vazdušnog strujanja (RAF) i tetive aerodinamičkog profila lopatica rotora se naziva: (Slika PPL(H) TL- 2)";"Napadni ugao lopatice. ODELJENJE VAZDUHOPLOVNOG OSOBLJA ISPITNA PITANJA ZA PPL(H) PPL(H) – Teorija letenja";"Ugao konusa.";"Napadni ugao rotora.";"Postavni (konstruktivni) ugao.";"a";"Teorija letenja"
"24";"Razlika izmeñu polukrutog i šarnirno vezanog (elastičnog) rotora je u tome što je polukruti rotor slobodan da:";"Maše i klati, dok elastični rotor može da maše, klati, ubrzava i zaostaje (usporava).";"Maše, klati, ubrzava i kasni, dok je elastični rotor slobodan da se klati.";"Ubrzava, kasni i klati, dok je elastični rotor slobodan da maše, ubrzava i kasni.";"Ubrzava i kasni, dok je elastični rotor slobodan da se klati i maše.";"a";"Teorija letenja"
"25";"Kada je u ustaljenom horizontalnom letu, nadolazeća lopatica će: (Slika PPL(H) TL-5)";"Zaostajati oko svog vertikalnog šarnira.";"Povećavati svoj napadni ugao.";"Ubrzavati oko svoje vertikalne ose.";"Mahati na gore.";"a";"Teorija letenja"
"26";"Efekat horizontalnog protoka vazduha oko diska rotora kada helikopter lebdi okrenut u vetar je: Slika PPL(H) TL – 11)";"U početku se smanjuje indukovane protok, ali se u isto vreme dodaje komponenta protoka indukovanog vazduha koji prolazi kroz disk pod pravim uglom.";"Znatno se smanjuje indukovani protok.";"Indukovani protok ostaje konstantan, ali horizontalna komponenta protoka vazduha sada deluje na rotor pod 900.";"Indukovano strujanje će se povećati, što omogućava manji napadni ugao i stoga manji kolektivni korak.";"a";"Teorija letenja"
"27";"Promena koraka lopatica repnog rotora na većini tipova helikoptera se potpomaže:";"Protivtegovima.";"Krilcima postavljenim na izlaznoj ivici svake lopatice.";"„Delta 3” šarnirima.";"Graničnim šarnirima.";"a";"Teorija letenja"
